;klasyfikator_0;klasyfikator_1;adv
0;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 2;1
1;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 3;1
2;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 4;1
3;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 5;1
4;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 6;1
5;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 7;1
6;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 8;1
7;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 9;1
8;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 1;1
9;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 2;1
10;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 3;1
11;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 4;1
12;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 5;1
13;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 6;1
14;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 7;1
15;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 8;1
16;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 9;1
17;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 1;1
18;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 2;1
19;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 3;1
20;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 4;1
21;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 5;1
22;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 6;1
23;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 7;1
24;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 8;1
25;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 9;1
26;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 1;1
27;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 2;1
28;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 3;1
29;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 4;1
30;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 5;1
31;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 6;1
32;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 7;1
33;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 8;1
34;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 9;1
35;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = euclidean, liczba cech = 1;1
36;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = euclidean, liczba cech = 2;1
37;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = euclidean, liczba cech = 3;1
38;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = euclidean, liczba cech = 4;1
39;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = euclidean, liczba cech = 5;1
40;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = euclidean, liczba cech = 6;1
41;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = euclidean, liczba cech = 7;1
42;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = euclidean, liczba cech = 8;1
43;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = euclidean, liczba cech = 9;1
44;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = minkowski, liczba cech = 1;1
45;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = minkowski, liczba cech = 2;1
46;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = minkowski, liczba cech = 3;1
47;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = minkowski, liczba cech = 4;1
48;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = minkowski, liczba cech = 5;1
49;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = minkowski, liczba cech = 6;1
50;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = minkowski, liczba cech = 7;1
51;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = minkowski, liczba cech = 8;1
52;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = minkowski, liczba cech = 9;1
53;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = euclidean, liczba cech = 3;1
54;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = euclidean, liczba cech = 4;1
55;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = euclidean, liczba cech = 5;1
56;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = euclidean, liczba cech = 6;1
57;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = euclidean, liczba cech = 7;1
58;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = euclidean, liczba cech = 8;1
59;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = euclidean, liczba cech = 9;1
60;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = minkowski, liczba cech = 1;1
61;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = minkowski, liczba cech = 2;1
62;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = minkowski, liczba cech = 3;1
63;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = minkowski, liczba cech = 4;1
64;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = minkowski, liczba cech = 5;1
65;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = minkowski, liczba cech = 6;1
66;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = minkowski, liczba cech = 7;1
67;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = minkowski, liczba cech = 8;1
68;k = 1, metryka = euclidean, liczba cech = 2;k = 1, metryka = minkowski, liczba cech = 9;1
69;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = euclidean, liczba cech = 1;1
70;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = euclidean, liczba cech = 2;1
71;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = euclidean, liczba cech = 3;1
72;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = euclidean, liczba cech = 4;1
73;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = euclidean, liczba cech = 5;1
74;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = euclidean, liczba cech = 6;1
75;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = euclidean, liczba cech = 7;1
76;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = euclidean, liczba cech = 8;1
77;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = euclidean, liczba cech = 9;1
78;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = minkowski, liczba cech = 1;1
79;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = minkowski, liczba cech = 2;1
80;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = minkowski, liczba cech = 3;1
81;k = 1, metryka = euclidean, liczba cech = 2;k = 5, metryka = minkowski, liczba cech = 4;1
