;Parametr k;Metryka;Liczba cech;Dokładność;Wyniki
0;1;euclidean;1;0.6645021645021644;[0.7051282051282052, 0.6233766233766234, 0.6538461538461539, 0.6233766233766234, 0.6538461538461539, 0.6623376623376623, 0.6538461538461539, 0.7142857142857143, 0.6666666666666666, 0.6883116883116883]
1;1;euclidean;2;0.6721112221112221;[0.7435897435897436, 0.6233766233766234, 0.6666666666666666, 0.6883116883116883, 0.6666666666666666, 0.6883116883116883, 0.6923076923076923, 0.5974025974025974, 0.7051282051282052, 0.6493506493506493]
2;1;euclidean;3;0.7315184815184814;[0.7692307692307693, 0.7272727272727273, 0.7564102564102564, 0.7012987012987013, 0.7692307692307693, 0.7272727272727273, 0.717948717948718, 0.7012987012987013, 0.717948717948718, 0.7272727272727273]
3;1;euclidean;4;0.7186813186813186;[0.7692307692307693, 0.7012987012987013, 0.7307692307692307, 0.6623376623376623, 0.6794871794871795, 0.6623376623376623, 0.7051282051282052, 0.7272727272727273, 0.7307692307692307, 0.8181818181818182]
4;1;euclidean;5;0.7316516816516816;[0.7307692307692307, 0.7662337662337663, 0.7307692307692307, 0.7272727272727273, 0.7307692307692307, 0.7532467532467533, 0.7307692307692307, 0.7662337662337663, 0.7051282051282052, 0.6753246753246753]
5;1;euclidean;6;0.7392773892773891;[0.7564102564102564, 0.7662337662337663, 0.7307692307692307, 0.7272727272727273, 0.7692307692307693, 0.6883116883116883, 0.7307692307692307, 0.7662337662337663, 0.7692307692307693, 0.6883116883116883]
6;1;euclidean;7;0.7587745587745587;[0.7435897435897436, 0.8181818181818182, 0.6923076923076923, 0.7532467532467533, 0.7948717948717948, 0.7272727272727273, 0.7307692307692307, 0.8181818181818182, 0.782051282051282, 0.7272727272727273]
7;1;euclidean;8;0.7922410922410923;[0.8076923076923077, 0.7792207792207793, 0.7564102564102564, 0.7792207792207793, 0.782051282051282, 0.8311688311688312, 0.782051282051282, 0.7662337662337663, 0.8461538461538461, 0.7922077922077922]
8;1;euclidean;9;0.7961538461538462;[0.7948717948717948, 0.7792207792207793, 0.7948717948717948, 0.8051948051948052, 0.7692307692307693, 0.7922077922077922, 0.7692307692307693, 0.8051948051948052, 0.8333333333333334, 0.8181818181818182]
9;1;minkowski;1;0.6800366300366301;[0.717948717948718, 0.6753246753246753, 0.6282051282051282, 0.7532467532467533, 0.7564102564102564, 0.5844155844155844, 0.6153846153846154, 0.6753246753246753, 0.6538461538461539, 0.7402597402597403]
10;1;minkowski;2;0.689127539127539;[0.7435897435897436, 0.7142857142857143, 0.6153846153846154, 0.7532467532467533, 0.6666666666666666, 0.6883116883116883, 0.7051282051282052, 0.7012987012987013, 0.6410256410256411, 0.6623376623376623]
11;1;minkowski;3;0.7135031635031635;[0.7307692307692307, 0.6883116883116883, 0.7435897435897436, 0.6753246753246753, 0.7564102564102564, 0.7532467532467533, 0.7051282051282052, 0.7402597402597403, 0.6666666666666666, 0.6753246753246753]
12;1;minkowski;4;0.7342490842490841;[0.6794871794871795, 0.7922077922077922, 0.7307692307692307, 0.7532467532467533, 0.7948717948717948, 0.7142857142857143, 0.7051282051282052, 0.7142857142857143, 0.717948717948718, 0.7402597402597403]
13;1;minkowski;5;0.7238428238428238;[0.7307692307692307, 0.7012987012987013, 0.7692307692307693, 0.7012987012987013, 0.7435897435897436, 0.7922077922077922, 0.717948717948718, 0.6753246753246753, 0.6794871794871795, 0.7272727272727273]
14;1;minkowski;6;0.7509490509490508;[0.782051282051282, 0.7792207792207793, 0.7564102564102564, 0.7662337662337663, 0.7692307692307693, 0.7142857142857143, 0.7564102564102564, 0.7662337662337663, 0.7051282051282052, 0.7142857142857143]
15;1;minkowski;7;0.7754245754245757;[0.8205128205128205, 0.7662337662337663, 0.8076923076923077, 0.8181818181818182, 0.7435897435897436, 0.7662337662337663, 0.782051282051282, 0.7532467532467533, 0.7692307692307693, 0.7272727272727273]
16;1;minkowski;8;0.7858474858474859;[0.7435897435897436, 0.7402597402597403, 0.7564102564102564, 0.8051948051948052, 0.782051282051282, 0.7792207792207793, 0.7692307692307693, 0.8701298701298701, 0.8461538461538461, 0.7662337662337663]
17;1;minkowski;9;0.7987512487512488;[0.7692307692307693, 0.8441558441558441, 0.8076923076923077, 0.7272727272727273, 0.7948717948717948, 0.7792207792207793, 0.8076923076923077, 0.8311688311688312, 0.782051282051282, 0.8441558441558441]
18;5;euclidean;1;0.7715451215451216;[0.7307692307692307, 0.7792207792207793, 0.8333333333333334, 0.7272727272727273, 0.7692307692307693, 0.7532467532467533, 0.7948717948717948, 0.7532467532467533, 0.782051282051282, 0.7922077922077922]
