;klasyfikator_0;klasyfikator_1;statistic;pvalue
0;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 2;-0.5025417726020277;0.6273524316061858
1;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 3;-1.0699323949180504;0.31250357056744094
2;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 4;-1.8747528978509984;0.09358654261830711
3;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 5;-2.0403133791233614;0.07172874924382895
4;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 6;-3.6237349334844344;0.005539419281180045
5;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 7;-3.511684772655925;0.006601119758761283
6;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 8;-7.009056957614322;6.261848473695526e-05
7;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = euclidean, liczba cech = 9;-4.784716376261132;0.0009947026562799326
8;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 1;0.16623356242873427;0.8716477006750989
9;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 2;0.49726213125057905;0.6309254211499291
10;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 3;-0.01201362229004129;0.9906768395207876
11;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 4;-1.3431825084824571;0.21209951255951606
12;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 5;-1.8154690201058252;0.10283954479933038
13;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 6;-2.577721468300773;0.02980782600502439
14;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 7;-4.227033239453507;0.002216301593011574
15;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 8;-4.777164386319237;0.0010052495892152974
16;k = 1, metryka = euclidean, liczba cech = 1;k = 1, metryka = minkowski, liczba cech = 9;-4.4001603974525745;0.0017199778426299811
17;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 1;-4.292464398620368;0.0020127791530980517
18;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 2;-2.6362905713650675;0.027077944338265908
19;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 3;-2.3672997013161545;0.04209482843566601
20;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 4;-5.63451364938821;0.00031985146432655064
21;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 5;-7.442415297501991;3.9234144532401954e-05
22;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 6;-5.239846931005742;0.0005348703288696505
23;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 7;-9.202103732741572;7.117111802508128e-06
24;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 8;-9.19188300456345;7.182360704310029e-06
25;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = euclidean, liczba cech = 9;-8.309507790595793;1.6323882896249426e-05
26;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 1;-4.312310773577239;0.0019550603430964837
27;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 2;-2.7605893600194413;0.022090854702258522
28;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 3;-2.470768665870303;0.03552544150534421
29;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 4;-9.35884175281543;6.194060862718812e-06
30;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 5;-6.229378067598103;0.0001533690238043615
31;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 6;-8.29484301896357;1.6557754923621954e-05
32;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 7;-9.358455750563978;6.1961654665332995e-06
33;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 8;-9.483871960997519;5.552016566207454e-06
34;k = 1, metryka = euclidean, liczba cech = 1;k = 5, metryka = minkowski, liczba cech = 9;-7.854682262930313;2.561837186052835e-05
35;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = euclidean, liczba cech = 1;-4.883769505265388;0.0008668544289277324
36;k = 1, metryka = euclidean, liczba cech = 1;k = 10, metryka = euclidean, liczba cech = 2;-2.7837245098518104;0.021270881096700122
